ID_GRAFIC,LEVEL,TYPE,COLOR,STYLE,WEIGHT,HEIGHT,ORIENTX,ORIENTY,ORIENTZ,MAPX,MAPY,CODI_SIMB,MIDASX,MIDASY,FONT,JUSTIF,SIZE,NUM_C,TEXT,CAS,FONT_ENTIT,MAPX_1,MAPY_1,MAPZ
45,0,2,46,0,0,621.19,0.00,0.00,0.00,459895.890000,4669829.560000,COTA,0.00100,0.00000,34,1,5.00,5,621.2,COT01,/POSE/X0.00/Y-7.50/m,459895.890000000,4669829.56000000,621.190000000000
46,0,2,46,0,0,618.55,0.00,0.00,0.00,459856.910000,4669857.510000,COTA,0.00100,0.00000,34,1,5.00,5,618.6,COT01,/POSE/X0.00/Y-7.50/m,459856.910000000,4669857.51000000,618.550000000000
47,0,2,46,0,0,611.78,0.00,0.00,0.00,459790.540000,4669926.920000,COTA,0.00100,0.00000,34,1,5.00,5,611.8,COT01,/POSE/X0.00/Y-7.50/m,459790.540000000,4669926.92000000,611.780000000000
48,0,2,46,0,0,605.41,0.00,0.00,0.00,459721.370000,4669972.790000,COTA,0.00100,0.00000,34,1,5.00,5,605.4,COT01,/POSE/X-8.58/Y-9.07/m,459721.370000000,4669972.79000000,605.410000000000
49,0,2,46,0,0,598.02,0.00,0.00,0.00,459674.350000,4669994.340000,COTA,0.00100,0.00000,34,1,5.00,5,598.0,COT01,/POSE/X0.00/Y-7.50/m,459674.350000000,4669994.34000000,598.020000000000
50,0,2,46,0,0,620.66,0.00,0.00,0.00,459903.860000,4669939.110000,COTA,0.00100,0.00000,34,1,5.00,5,620.7,COT01,/POSE/X-9.98/Y-12.50/m,459903.860000000,4669939.11000000,620.660000000000
51,0,2,46,0,0,605.78,0.00,0.00,0.00,459769.100000,4670116.720000,COTA,0.00100,0.00000,34,1,5.00,5,605.8,COT01,/POSE/X0.00/Y-7.50/m,459769.100000000,4670116.72000000,605.780000000000
52,0,2,46,0,0,613.77,0.00,0.00,0.00,459866.330000,4670130.830000,COTA,0.00100,0.00000,34,1,5.00,5,613.8,COT01,/POSE/X-8.36/Y-8.37/m,459866.330000000,4670130.83000000,613.770000000000
53,0,2,46,0,0,611.48,0.00,0.00,0.00,459817.360000,4670050.020000,COTA,0.00100,0.00000,34,1,5.00,5,611.5,COT01,/POSE/X-5.27/Y-8.02/m,459817.360000000,4670050.02000000,611.480000000000
54,0,2,46,0,0,621.41,0.00,0.00,0.00,459936.820000,4670071.610000,COTA,0.00100,0.00000,34,1,5.00,5,621.4,COT01,/POSE/X-7.48/Y-9.06/m,459936.820000000,4670071.61000000,621.410000000000
55,0,2,46,0,0,601.14,0.00,0.00,0.00,459718.720000,4670064.930000,COTA,0.00100,0.00000,34,1,5.00,5,601.1,COT01,/POSE/X0.00/Y-7.50/m,459718.720000000,4670064.93000000,601.140000000000
56,0,2,46,0,0,602.33,0.00,0.00,0.00,459712.370000,4670242.060000,COTA,0.00100,0.00000,34,1,5.00,5,602.3,COT01,/POSE/X0.00/Y-7.50/m,459712.370000000,4670242.06000000,602.330000000000
57,0,2,46,0,0,595.90,0.00,0.00,0.00,459638.080000,4670088.990000,COTA,0.00100,0.00000,34,1,5.00,5,595.9,COT01,/POSE/X0.00/Y-7.50/m,459638.080000000,4670088.99000000,595.900000000000
58,0,2,46,0,0,593.32,0.00,0.00,0.00,459599.350000,4670206.420000,COTA,0.00100,0.00000,34,1,5.00,5,593.3,COT01,/POSE/X0.00/Y-7.50/m,459599.350000000,4670206.42000000,593.320000000000
59,0,2,46,0,0,590.53,0.00,0.00,0.00,459567.030000,4670014.220000,COTA,0.00100,0.00000,34,1,5.00,5,590.5,COT01,/POSE/X0.00/Y-7.50/m,459567.030000000,4670014.22000000,590.530000000000
60,0,2,46,0,0,595.22,0.00,0.00,0.00,459615.570000,4669992.850000,COTA,0.00100,0.00000,34,1,5.00,5,595.2,COT01,/POSE/X-3.87/Y-8.16/m,459615.570000000,4669992.85000000,595.220000000000
61,0,2,46,0,0,588.19,0.00,0.00,0.00,459528.760000,4669781.840000,COTA,0.00100,0.00000,34,1,5.00,5,588.2,COT01,/POSE/X0.00/Y-7.50/m,459528.760000000,4669781.84000000,588.190000000000
62,0,2,46,0,0,563.00,0.00,0.00,0.00,459586.650000,4670444.740000,COTA,0.00100,0.00000,34,1,5.00,5,563.0,COT01,/POSE/X0.00/Y-7.50/m,459586.650000000,4670444.74000000,563.000000000000
63,0,2,46,0,0,605.74,0.00,0.00,0.00,460179.060000,4670470.900000,COTA,0.00100,0.00000,34,1,5.00,5,605.7,COT01,/POSE/X0.00/Y-7.50/m,460179.060000000,4670470.90000000,605.740000000000
64,0,2,46,0,0,507.27,0.00,0.00,0.00,460407.260000,4670605.670000,COTA,0.00100,0.00000,34,1,5.00,5,507.3,COT01,/POSE/X-13.95/Y-9.78/m,460407.260000000,4670605.67000000,507.270000000000
65,0,2,46,0,0,601.85,0.00,0.00,0.00,459719.920000,4670496.560000,COTA,0.00100,0.00000,34,1,5.00,5,601.9,COT01,/POSE/X0.00/Y-7.50/m,459719.920000000,4670496.56000000,601.850000000000
66,0,2,46,0,0,493.57,0.00,0.00,0.00,460340.790000,4670739.500000,COTA,0.00100,0.00000,34,1,5.00,5,493.6,COT01,/POSE/X2.73/Y-5.79/m,460340.790000000,4670739.50000000,493.570000000000
67,0,2,46,0,0,477.69,0.00,0.00,0.00,459947.290000,4670905.720000,COTA,0.00100,0.00000,34,1,5.00,5,477.7,COT01,/POSE/X0.00/Y-7.50/m,459947.290000000,4670905.72000000,477.690000000000
68,0,2,46,0,0,648.82,0.00,0.00,0.00,460172.950000,4670308.160000,COTA,0.00100,0.00000,34,1,5.00,5,648.8,COT01,/POSE/X-14.26/Y-9.13/m,460172.950000000,4670308.16000000,648.820000000000
69,0,2,46,0,0,645.52,0.00,0.00,0.00,460054.370000,4670183.070000,COTA,0.00100,0.00000,34,1,5.00,5,645.5,COT01,/POSE/X0.00/Y-7.50/m,460054.370000000,4670183.07000000,645.520000000000
70,0,2,46,0,0,602.91,0.00,0.00,0.00,460331.640000,4670231.400000,COTA,0.00100,0.00000,34,1,5.00,5,602.9,COT01,/POSE/X-6.61/Y-9.13/m,460331.640000000,4670231.40000000,602.910000000000
71,0,2,46,0,0,670.46,0.00,0.00,0.00,460480.890000,4669795.700000,COTA,0.00100,0.00000,34,1,5.00,5,670.5,COT01,/POSE/X1.72/Y-8.58/m,460480.890000000,4669795.70000000,670.460000000000
72,0,2,46,0,0,663.32,0.00,0.00,0.00,460392.190000,4669747.620000,COTA,0.00100,0.00000,34,1,5.00,5,663.3,COT01,/POSE/X1.00/Y-9.08/m,460392.190000000,4669747.62000000,663.320000000000
73,0,2,46,0,0,650.49,0.00,0.00,0.00,460264.980000,4669825.180000,COTA,0.00100,0.00000,34,1,5.00,5,650.5,COT01,/POSE/X-22.45/Y-0.64/m,460264.980000000,4669825.18000000,650.490000000000
74,0,2,46,0,0,651.73,0.00,0.00,0.00,460286.500000,4669846.350000,COTA,0.00100,0.00000,34,1,5.00,5,651.7,COT01,/POSE/X-17.30/Y-1.79/m,460286.500000000,4669846.35000000,651.730000000000
75,0,2,46,0,0,655.65,0.00,0.00,0.00,460320.720000,4669765.380000,COTA,0.00100,0.00000,34,1,5.00,5,655.7,COT01,/POSE/X0.00/Y-7.50/m,460320.720000000,4669765.38000000,655.650000000000
76,0,2,46,0,0,661.80,0.00,0.00,0.00,460405.530000,4669793.030000,COTA,0.00100,0.00000,34,1,5.00,5,661.8,COT01,/POSE/X0.00/Y-7.50/m,460405.530000000,4669793.03000000,661.800000000000
77,0,2,46,0,0,660.96,0.00,0.00,0.00,460430.790000,4669863.350000,COTA,0.00100,0.00000,34,1,5.00,5,661.0,COT01,/POSE/X-3.16/Y5.08/m,460430.790000000,4669863.35000000,660.960000000000
78,0,2,46,0,0,655.87,0.00,0.00,0.00,460352.870000,4669897.380000,COTA,0.00100,0.00000,34,1,5.00,5,655.9,COT01,/POSE/X0.00/Y-7.50/m,460352.870000000,4669897.38000000,655.870000000000
79,0,2,46,0,0,646.69,0.00,0.00,0.00,460348.790000,4669978.100000,COTA,0.00100,0.00000,34,1,5.00,5,646.7,COT01,/POSE/X0.00/Y-7.50/m,460348.790000000,4669978.10000000,646.690000000000
80,0,2,46,0,0,649.62,0.00,0.00,0.00,460419.280000,4669981.330000,COTA,0.00100,0.00000,34,1,5.00,5,649.6,COT01,/POSE/X0.00/Y-7.50/m,460419.280000000,4669981.33000000,649.620000000000
81,0,2,46,0,0,652.63,0.00,0.00,0.00,460416.060000,4669932.300000,COTA,0.00100,0.00000,34,1,5.00,5,652.6,COT01,/POSE/X-18.95/Y-6.69/m,460416.060000000,4669932.30000000,652.630000000000
82,0,2,46,0,0,670.89,0.00,0.00,0.00,460446.130000,4669683.540000,COTA,0.00100,0.00000,34,1,5.00,5,670.9,COT01,/POSE/X0.00/Y-7.50/m,460446.130000000,4669683.54000000,670.890000000000
83,0,2,46,0,0,660.95,0.00,0.00,0.00,460356.840000,4669618.980000,COTA,0.00100,0.00000,34,1,5.00,5,661.0,COT01,/POSE/X0.00/Y-7.50/m,460356.840000000,4669618.98000000,660.950000000000
84,0,2,46,0,0,654.86,0.00,0.00,0.00,460290.770000,4669600.610000,COTA,0.00100,0.00000,34,1,5.00,5,654.9,COT01,/POSE/X6.12/Y-3.16/m,460290.770000000,4669600.61000000,654.860000000000
85,0,2,46,0,0,648.35,0.00,0.00,0.00,460197.600000,4669596.640000,COTA,0.00100,0.00000,34,1,5.00,5,648.4,COT01,/POSE/X0.00/Y-7.50/m,460197.600000000,4669596.64000000,648.350000000000
86,0,2,46,0,0,660.37,0.00,0.00,0.00,460346.320000,4669688.460000,COTA,0.00100,0.00000,34,1,5.00,5,660.4,COT01,/POSE/X-0.38/Y-7.15/m,460346.320000000,4669688.46000000,660.370000000000
87,0,2,46,0,0,677.36,0.00,0.00,0.00,460487.000000,4669584.500000,COTA,0.00100,0.00000,34,1,5.00,5,677.4,COT01,/POSE/X-7.94/Y-9.09/m,460487.000000000,4669584.50000000,677.360000000000
88,0,2,46,0,0,608.71,0.00,0.00,0.00,459737.720000,4669848.780000,COTA,0.00100,0.00000,34,1,5.00,5,608.7,COT01,/POSE/X-6.70/Y-8.82/m,459737.720000000,4669848.78000000,608.710000000000
89,0,2,46,0,0,613.99,0.00,0.00,0.00,459771.780000,4669732.300000,COTA,0.00100,0.00000,34,1,5.00,5,614.0,COT01,/POSE/X0.00/Y-7.50/m,459771.780000000,4669732.30000000,613.990000000000
90,0,2,46,0,0,616.68,0.00,0.00,0.00,459841.850000,4669800.670000,COTA,0.00100,0.00000,34,1,5.00,5,616.7,COT01,/POSE/X-11.11/Y-8.49/m,459841.850000000,4669800.67000000,616.680000000000
